subject,method,classifier_type,tar,far_human,far_attack,threshold,n_synthetic,mode,run_id,feature_set,split_mode,enroll_sessions,verify_sessions,verify_session,n_enroll_sessions
s027,vae,svm,0.96,0.0536,1.0,0.06963833767786852,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s027,gan,svm,0.96,0.0536,1.0,0.06963833767786852,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s028,vae,svm,0.98,0.02,1.0,0.0944273540274016,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s028,gan,svm,0.98,0.02,1.0,0.0944273540274016,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s029,vae,svm,0.98,0.0232,1.0,0.3388912403096494,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s029,gan,svm,0.98,0.0232,0.9875,0.3388912403096494,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s030,vae,svm,1.0,0.0028,0.975,0.5180316525445122,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s030,gan,svm,1.0,0.0028,0.9125,0.5180316525445122,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s031,vae,svm,0.94,0.0464,1.0,0.24401435824621262,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s031,gan,svm,0.94,0.0464,0.975,0.24401435824621262,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s032,vae,svm,0.86,0.1368,1.0,0.14858875849709743,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s032,gan,svm,0.86,0.1368,0.9875,0.14858875849709743,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s033,vae,svm,0.98,0.0136,1.0,0.18896011635742735,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s033,gan,svm,0.98,0.0136,1.0,0.18896011635742735,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s034,vae,svm,0.94,0.0668,0.975,0.19488052214027488,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s034,gan,svm,0.94,0.0668,1.0,0.19488052214027488,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s035,vae,svm,0.98,0.0128,1.0,0.3078526865800559,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s035,gan,svm,0.98,0.0128,1.0,0.3078526865800559,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s036,vae,svm,1.0,0.0,1.0,0.7857330276425415,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s036,gan,svm,1.0,0.0,1.0,0.7857330276425415,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s037,vae,svm,0.86,0.1312,1.0,0.04916941136177568,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s037,gan,svm,0.86,0.1312,0.975,0.04916941136177568,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s038,vae,svm,0.98,0.0056,0.9875,0.7269124167530564,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s038,gan,svm,0.98,0.0056,0.7125,0.7269124167530564,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s039,vae,svm,0.98,0.0164,1.0,0.3386169466492455,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s039,gan,svm,0.98,0.0164,0.9875,0.3386169466492455,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s040,vae,svm,1.0,0.0068,1.0,0.3388549934671768,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s040,gan,svm,1.0,0.0068,0.95,0.3388549934671768,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s041,vae,svm,0.96,0.0328,1.0,0.20838247600620952,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s041,gan,svm,0.96,0.0328,1.0,0.20838247600620952,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s042,vae,svm,0.98,0.0104,1.0,0.1410943102271368,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s042,gan,svm,0.98,0.0104,1.0,0.1410943102271368,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s043,vae,svm,1.0,0.0,0.9875,0.8105192596817855,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s043,gan,svm,1.0,0.0,0.925,0.8105192596817855,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s044,vae,svm,0.96,0.0344,1.0,0.18919378896146233,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s044,gan,svm,0.96,0.0344,0.9875,0.18919378896146233,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s046,vae,svm,0.96,0.034,1.0,0.34020598239252253,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s046,gan,svm,0.96,0.034,0.95,0.34020598239252253,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s047,vae,svm,0.94,0.0608,1.0,0.051304430113550174,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s047,gan,svm,0.94,0.0608,1.0,0.051304430113550174,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s048,vae,svm,0.94,0.0612,1.0,0.20161960551447586,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s048,gan,svm,0.94,0.0612,0.9875,0.20161960551447586,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s049,vae,svm,0.98,0.024,1.0,0.21135200845827629,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s049,gan,svm,0.98,0.024,0.9875,0.21135200845827629,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s050,vae,svm,0.96,0.0404,1.0,0.34846708519750136,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s050,gan,svm,0.96,0.0404,0.9875,0.34846708519750136,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s051,vae,svm,0.9,0.108,1.0,0.15905444486663786,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s051,gan,svm,0.9,0.108,0.9875,0.15905444486663786,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s052,vae,svm,1.0,0.0,0.975,0.9300118162837064,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s052,gan,svm,1.0,0.0,1.0,0.9300118162837064,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s053,vae,svm,0.98,0.0008,1.0,0.7212298174330233,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s053,gan,svm,0.98,0.0008,0.9375,0.7212298174330233,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s054,vae,svm,0.8,0.2008,0.9875,0.06596755133103749,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s054,gan,svm,0.8,0.2008,1.0,0.06596755133103749,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s055,vae,svm,1.0,0.0024,0.975,0.8468183464477783,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s055,gan,svm,1.0,0.0024,0.9625,0.8468183464477783,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s056,vae,svm,0.94,0.0584,1.0,0.2225135430563514,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s056,gan,svm,0.94,0.0584,0.95,0.2225135430563514,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s057,vae,svm,0.96,0.0372,1.0,0.2697758495215831,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s057,gan,svm,0.96,0.0372,0.975,0.2697758495215831,80,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
