method,classifier_type,n_subjects,tar_mean,tar_std,tar_ci_low,tar_ci_high,far_human_mean,far_human_std,far_human_ci_low,far_human_ci_high,far_attack_mean,far_attack_std,far_attack_ci_low,far_attack_ci_high
gan,svm,51,0.9525490196078431,0.04417434265520662,0.940124785527928,0.9649732536877582,0.04584313725490196,0.043912573392603446,0.033492526966491666,0.05819374754331225,0.9757352941176471,0.04481990104196756,0.9631294938156385,0.9883410944196558
vae,svm,51,0.9525490196078431,0.04417434265520662,0.940124785527928,0.9649732536877582,0.04584313725490196,0.043912573392603446,0.033492526966491666,0.05819374754331225,0.9963235294117647,0.00802111184899685,0.9940675553507365,0.9985795034727929
