subject,tar,far,eer,accuracy,auc,threshold,classifier_type,mode,run_id,feature_set,split_mode,enroll_sessions,verify_sessions,verify_session,n_enroll_sessions
s041,0.96,0.0328,0.007200000000000033,0.9670588235294117,0.993688,0.20838247600620952,svm,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s042,0.98,0.0104,0.009600000000000018,0.9894117647058823,0.999672,0.1410943102271368,svm,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s043,1.0,0.0,0.0,1.0,1.0,0.8105192596817855,svm,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s044,0.96,0.0344,0.0056000000000000355,0.9654901960784313,0.991312,0.18919378896146233,svm,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s046,0.96,0.034,0.006000000000000033,0.9658823529411765,0.988672,0.34020598239252253,svm,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s047,0.94,0.0608,0.0007999999999999466,0.9392156862745098,0.980032,0.051304430113550174,svm,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s048,0.94,0.0612,0.0011999999999999442,0.9388235294117647,0.9907760000000001,0.20161960551447586,svm,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s049,0.98,0.024,0.003999999999999983,0.976078431372549,0.995984,0.21135200845827629,svm,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s050,0.96,0.0404,0.0003999999999999629,0.9596078431372549,0.992136,0.34846708519750136,svm,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s051,0.9,0.108,0.008000000000000021,0.8921568627450981,0.960056,0.15905444486663786,svm,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s052,1.0,0.0,0.0,1.0,1.0,0.9300118162837064,svm,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s053,0.98,0.0008,0.01920000000000002,0.9988235294117647,0.9982719999999999,0.7212298174330233,svm,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s054,0.8,0.2008,0.0008000000000000507,0.7992156862745098,0.8997200000000001,0.06596755133103749,svm,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s055,1.0,0.0024,0.0024,0.9976470588235294,0.9998720000000001,0.8468183464477783,svm,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s056,0.94,0.0584,0.0016000000000000528,0.9415686274509804,0.989376,0.2225135430563514,svm,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
s057,0.96,0.0372,0.0028000000000000386,0.9627450980392157,0.979528,0.2697758495215831,svm,full,full_42_20260827T042239Z,hold_flight,fixed,"1,2,3,4",5,5,4
